"codigo_centro_poblado","nombre_municipio","longitud","latitud"
18410000,"LA MONTANITA",-75.4364077628,1.47917263471
18460000,"MILAN",-75.506962028,1.29042720175
18479000,"MORELIA",-75.724581403,1.48762336882
18592000,"PUERTO RICO",-75.1574887391,1.9089350729
18610000,"SAN JOSE DEL FRAGUA",-75.9735381035,1.33194847974
18753000,"SAN VICENTE DEL CAGUAN",-74.7673405755,2.11978613132
18756000,"SOLANO",-75.2537043144,0.698977525293
18785000,"SOLITA",-75.6197340907,0.876668003326
18860000,"VALPARAISO",-75.7065835254,1.19458303208
19001000,"POPAYAN",-76.5740646841,2.48250339062
19022000,"ALMAGUER",-76.8559244891,1.91336023289
19050000,"ARGELIA",-77.2494502806,2.25675490871
19075000,"BALBOA",-77.2158981426,2.04047876828
19100000,"BOLIVAR",-76.9663120354,1.83741640354
19110000,"BUENOS AIRES",-76.6422805942,3.01542682958
19130000,"CAJIBIO",-76.570884274,2.62333825366
19137000,"CALDONO",-76.4844478583,2.79813082558
19142000,"CALOTO",-76.4084870416,3.03407077834
19212000,"CORINTO",-76.2613141858,3.17381545712
19256000,"EL TAMBO",-76.8107722487,2.4513713597
19290000,"FLORENCIA",-77.0725342556,1.68252246324
19300000,"GUACHENE",-76.3921887379,3.13415329544
19318000,"GUAPI",-77.8880334723,2.57291836569
19355000,"INZA",-76.0635027215,2.54918298431
19364000,"JAMBALO",-76.3238781841,2.77783734662
19392000,"LA SIERRA",-76.7632090797,2.1793224055
19397000,"LA VEGA",-76.7788973014,2.00110922351
19418000,"LOPEZ DE MICAY",-77.2476915421,2.84671593199
19450000,"MERCADERES",-77.1658443228,1.7757724953
19455000,"MIRANDA",-76.2288698651,3.25309540523
19473000,"MORALES",-76.6292205639,2.75455856722
19513000,"PADILLA",-76.3132908947,3.22085383574
19517000,"PAEZ",-75.9719645112,2.64136676756
19532000,"PATIA",-76.980978593,2.1156702266
19533000,"PIAMONTE",-76.3257642468,1.11719778195
19548000,"PIENDAMO - TUNIA",-76.528505916,2.64198757766
19573000,"PUERTO TEJADA",-76.4173077964,3.23329412702
19585000,"PURACE",-76.4956389436,2.34264404738
19622000,"ROSAS",-76.7403518701,2.26097969885
19693000,"SAN SEBASTIAN",-76.7693316013,1.83837388745
19698000,"SANTANDER DE QUILICHAO",-76.4853702902,3.01605390077
19701000,"SANTA ROSA",-76.5739729713,1.70242028367
19743000,"SILVIA",-76.3795704195,2.61181564498
19760000,"SOTARA PAISPAMBA",-76.6132981543,2.25313406728
19780000,"SUAREZ",-76.6934471137,2.9597015369
19785000,"SUCRE",-76.9262773071,2.03825139668
19807000,"TIMBIO",-76.6842387889,2.34997642507
19809000,"TIMBIQUI",-77.6675652428,2.77741370208
19821000,"TORIBIO",-76.271127213,2.95145040911
19824000,"TOTORO",-76.4024425093,2.51022919252
19845000,"VILLA RICA",-76.457872658,3.17757792648
20001000,"VALLEDUPAR",-73.259389309,10.4604812152
20011000,"AGUACHICA",-73.599028585,8.31033695838
20013000,"AGUSTIN CODAZZI",-73.2383961682,10.0404579941
20032000,"ASTREA",-73.9758637993,9.49816110765
20045000,"BECERRIL",-73.2792316745,9.70460611578
20060000,"BOSCONIA",-73.8887676643,9.97509470036
20175000,"CHIMICHAGUA",-73.8133284455,9.25827144037
20178000,"CHIRIGUANA",-73.6001444386,9.36118961071
20228000,"CURUMANI",-73.5409865164,9.20181059219
20238000,"EL COPEY",-73.9627174377,10.1495254346
20250000,"EL PASO",-73.7417884838,9.668470391
20295000,"GAMARRA",-73.7437599973,8.32044905058
20310000,"GONZALEZ",-73.3800398618,8.38960409745
20383000,"LA GLORIA",-73.8032101165,8.61929787819
20400000,"LA JAGUA DE IBIRICO",-73.3342279147,9.56388730036
